split,rows,share,primary_target_non_missing,primary_target_positive,primary_target_positive_rate
train,2299537,0.6002586852732118,2299490,906806,0.39435092129124283
val,765482,0.19981727579086953,765471,301575,0.3939731224305036
test,765891,0.19992403893591862,765877,302531,0.3950125150644294
