seed,algorithm,solutions_collected,runtime_seconds,hypervolume,best_primary_average_precision,best_primary_f1,best_any_f1,selected_seed_algorithm
11,NSGA-II,40,7.9100648000003275,0.3500620051303923,0.9056731519036556,0.6358772176851591,0.4811003565970453,False
11,NSGA-III,40,8.141614299999674,0.3426344081152778,0.9056094102553472,0.6298655343241331,0.4728983432194723,False
11,R-NSGA-II,40,8.65343750000011,0.31808363061606626,0.905453026856019,0.6339952119419799,0.4766659873649888,False
11,SMS-EMOA,40,13.506643800000347,0.35131197768202904,0.9054756356159752,0.635864206226229,0.478189971463514,True
11,AGE-MOEA,40,10.82686190000004,0.30840788268268654,0.903409601569609,0.5914499779638608,0.4359243697478991,False
22,NSGA-II,40,8.002771800000119,0.34619441132628925,0.908084976943411,0.6319899595593362,0.4774128347650328,False
22,NSGA-III,40,8.05269589999989,0.3299901642814892,0.9078574025053516,0.6146632566069906,0.45728334357713585,False
22,R-NSGA-II,40,8.53726529999949,0.31834368488492937,0.9081681831028375,0.6292922214435879,0.4708032903422362,False
22,SMS-EMOA,40,12.656843100000515,0.3495040261466157,0.9079121587945969,0.6318581599888315,0.47516941438252247,True
22,AGE-MOEA,40,8.311906500000077,0.34361755990134646,0.9076526107156668,0.6301331464611073,0.4704331068059641,False
33,NSGA-II,40,7.652150299999448,0.33982055774623854,0.9062534623142963,0.6314907872696818,0.47579417436313814,False
33,NSGA-III,40,8.885081600000376,0.2907299498509558,0.9054440348178356,0.5685083691304992,0.4188260179799048,False
33,R-NSGA-II,40,7.6666237999997975,0.3246005084433782,0.9065818905977486,0.6307413095071898,0.4742770167427701,False
33,SMS-EMOA,40,12.180426400000215,0.348138872891235,0.9065443187177407,0.6301828842663688,0.4769152714358194,True
33,AGE-MOEA,40,9.605263800000102,0.3355011982916142,0.9057621400771445,0.6204853273137698,0.4636465896308416,False
44,NSGA-II,40,7.621508000000176,0.3437072460276116,0.9046788441222245,0.6370830977953645,0.47381193124368043,False
44,NSGA-III,40,9.477909499999441,0.3286263491714493,0.9061037671212563,0.6185062598935097,0.45641708491242444,True
44,R-NSGA-II,40,8.088400899999215,0.31399901078089865,0.9056728270285166,0.6375706214689265,0.475843945825753,False
44,SMS-EMOA,40,12.42941190000056,0.3491766745256381,0.9055891268497624,0.6357728171799943,0.47594015365952286,False
44,AGE-MOEA,40,7.617009499999767,0.3289274561958293,0.9040032730634344,0.6152512998266898,0.4611298396158954,False
55,NSGA-II,40,7.870589699999982,0.34336347716357274,0.9039381413774552,0.6337332392378263,0.4755145493257629,False
55,NSGA-III,40,9.141553000000386,0.3177431302876044,0.9029332899034442,0.6039819793634646,0.4460103626943005,False
55,R-NSGA-II,40,6.9884093999999095,0.31035519230017466,0.9037096417064573,0.6365943050465181,0.47621945036000407,False
55,SMS-EMOA,40,12.189752499999486,0.349960206126036,0.9038567021029705,0.6360304482661404,0.4762869882448318,True
55,AGE-MOEA,40,8.094057399999656,0.3390929435341371,0.9038656702471236,0.6255870214885442,0.47313357034027426,False
