selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
7200,0.18000450011250282,0.9469444444444445,0.43151898734177213,0.5928695652173913,top k rate,0.18000000000000002,raw cri probability,y_cri_high
7600,0.19000475011875298,0.939078947368421,0.4517088607594937,0.61,top k rate,0.19,raw cri probability,y_cri_high
8000,0.20000500012500314,0.93325,0.47253164556962024,0.6273949579831932,top k rate,0.2,raw cri probability,y_cri_high
8400,0.2100052501312533,0.9269047619047619,0.49278481012658226,0.6434710743801653,top k rate,0.21000000000000002,raw cri probability,y_cri_high
8800,0.22000550013750345,0.9223863636363636,0.5137341772151899,0.6599186991869919,top k rate,0.22,raw cri probability,y_cri_high
9200,0.2300057501437536,0.9148913043478261,0.5327215189873418,0.67336,top k rate,0.23,raw cri probability,y_cri_high
9600,0.24000600015000376,0.9086458333333334,0.5520886075949367,0.6868503937007874,top k rate,0.24000000000000002,raw cri probability,y_cri_high
10000,0.2500062501562539,0.9025,0.5712025316455697,0.6996124031007752,top k rate,0.25,raw cri probability,y_cri_high
10400,0.26000650016250404,0.8975961538461539,0.5908227848101266,0.7125954198473282,top k rate,0.26,raw cri probability,y_cri_high
10800,0.2700067501687542,0.8923148148148148,0.6099367088607595,0.7245864661654136,top k rate,0.27,raw cri probability,y_cri_high
11200,0.28000700017500435,0.8871428571428571,0.6288607594936709,0.736,top k rate,0.28,raw cri probability,y_cri_high
11600,0.2900072501812545,0.8825,0.6479113924050633,0.7472262773722628,top k rate,0.29000000000000004,raw cri probability,y_cri_high
12000,0.30000750018750466,0.87775,0.6666455696202531,0.7577697841726618,top k rate,0.3,raw cri probability,y_cri_high
12400,0.3100077501937548,0.8731451612903226,0.6852531645569621,0.7678723404255319,top k rate,0.31,raw cri probability,y_cri_high
12800,0.320008000200005,0.867890625,0.7031012658227848,0.7768531468531469,top k rate,0.32,raw cri probability,y_cri_high
13200,0.3300082502062552,0.8631818181818182,0.7211392405063292,0.7857931034482759,top k rate,0.33,raw cri probability,y_cri_high
13600,0.34000850021250534,0.8601470588235294,0.740379746835443,0.7957823129251701,top k rate,0.34,raw cri probability,y_cri_high
14000,0.3500087502187555,0.8530714285714286,0.7558860759493671,0.8015436241610738,top k rate,0.35000000000000003,raw cri probability,y_cri_high
14400,0.36000900022500565,0.8444444444444444,0.769620253164557,0.8052980132450331,top k rate,0.36000000000000004,raw cri probability,y_cri_high
