iteration,strategy,average_precision,f1_at_20pct
0,raw cri probability,0.8960221368889376,0.6267715210900374
0,manual topsis equal,0.7760181289076695,0.5458597922536692
0,manual vikor equal,0.7459959597468561,0.5305521678792211
0,manual waspas equal,0.7683310315299302,0.535935068758148
0,baseline auto mcdm,0.8256622688210663,0.5630177888052483
0,pareto auto mcdm,0.898890431797722,0.6271079523949704
1,raw cri probability,0.8951575139386013,0.6250680058589663
1,manual topsis equal,0.7763169344520029,0.5444653693241264
1,manual vikor equal,0.7472763624927441,0.5274743670223896
1,manual waspas equal,0.7684250055120231,0.5333333333333333
1,baseline auto mcdm,0.8250168990004701,0.5602845783636745
1,pareto auto mcdm,0.8977454461722263,0.6249843063402386
2,raw cri probability,0.8936135266352474,0.6281186783546864
2,manual topsis equal,0.7757993974522397,0.5488873904248146
2,manual vikor equal,0.7461463141003168,0.5330411328388401
2,manual waspas equal,0.7683827782329905,0.538435603506406
2,baseline auto mcdm,0.8239010108198884,0.5651550910316926
2,pareto auto mcdm,0.896340590457556,0.6280343897505057
3,raw cri probability,0.8932405653740024,0.6309065527306569
3,manual topsis equal,0.7739083215633841,0.5513769618004145
3,manual vikor equal,0.743765829900397,0.5348788019797791
3,manual waspas equal,0.7662302315622627,0.5408858242734463
3,baseline auto mcdm,0.8229004214153361,0.568551969203435
3,pareto auto mcdm,0.8962744570102779,0.6303989170438682
4,raw cri probability,0.892829764664502,0.6278076223510004
4,manual topsis equal,0.779238660637402,0.5540374772640752
4,manual vikor equal,0.7502873217560826,0.5366101264751914
4,manual waspas equal,0.7719384683640742,0.541855251469904
4,baseline auto mcdm,0.8267419186059953,0.5689268643458398
4,pareto auto mcdm,0.8956388873131618,0.6273000296095766
5,raw cri probability,0.891192874626271,0.6244149272612272
5,manual topsis equal,0.7803205732389887,0.552730339447607
5,manual vikor equal,0.7534019643454379,0.5381404174573056
5,manual waspas equal,0.7727241938761688,0.5428631667720851
5,baseline auto mcdm,0.826889667107072,0.5703563145688383
5,pareto auto mcdm,0.8943284628046094,0.6250052709255745
6,raw cri probability,0.8917380186503443,0.6282430490999746
6,manual topsis equal,0.7758583896309554,0.5526071156933998
6,manual vikor equal,0.7480119288379055,0.5367193442068791
6,manual waspas equal,0.7680131075250849,0.5389165891996958
6,baseline auto mcdm,0.8241657709568284,0.5673117552607115
6,pareto auto mcdm,0.894670085698762,0.6282430490999746
7,raw cri probability,0.8955579817804215,0.6277292115376494
7,manual topsis equal,0.7846507821117796,0.5566958064107437
7,manual vikor equal,0.754921209766081,0.5389585708855948
7,manual waspas equal,0.7766933246605956,0.546306854174585
7,baseline auto mcdm,0.8310365108304365,0.5726593183833777
7,pareto auto mcdm,0.898402740636742,0.628320452721821
8,raw cri probability,0.893544084758551,0.6268077750137032
8,manual topsis equal,0.7739142846828254,0.5483830164017371
8,manual vikor equal,0.745382699351871,0.5314331492178606
8,manual waspas equal,0.766283869288661,0.5360711725766327
8,baseline auto mcdm,0.8232936134824599,0.5636463296369693
8,pareto auto mcdm,0.8965409819548132,0.6263018088291099
9,raw cri probability,0.8935580017301887,0.6263213308064856
9,manual topsis equal,0.7770407147136906,0.5508528111181301
9,manual vikor equal,0.7488510672361387,0.5351863550221099
9,manual waspas equal,0.7694001741234151,0.5379658875552747
9,baseline auto mcdm,0.8243490808198011,0.5669404085070541
9,pareto auto mcdm,0.896446070496193,0.6256475047378396
10,raw cri probability,0.8964996642818089,0.6228811794594145
10,manual topsis equal,0.7806066853509329,0.5435841905793177
10,manual vikor equal,0.7510860766301047,0.5279247011786264
10,manual waspas equal,0.7728231032733373,0.5339219524384657
10,baseline auto mcdm,0.8288057271192396,0.5600766315438757
10,pareto auto mcdm,0.8993884289692267,0.6219649327391612
11,raw cri probability,0.8956710546076849,0.6266080033521894
11,manual topsis equal,0.7819951706393962,0.5509323276765137
11,manual vikor equal,0.7524959648212701,0.5313220196941126
11,manual waspas equal,0.773950723543766,0.5393672742509952
11,baseline auto mcdm,0.8301969567833577,0.5676094699350512
11,pareto auto mcdm,0.898556064594573,0.6265241986172219
12,raw cri probability,0.8958067140775536,0.6308634156639222
12,manual topsis equal,0.7787731940950232,0.5563858982478361
12,manual vikor equal,0.7498550030730041,0.536795440151995
12,manual waspas equal,0.7703749143105426,0.542030821194849
12,baseline auto mcdm,0.8273510500364019,0.5720075997466751
12,pareto auto mcdm,0.8988010448923902,0.6306100907747518
13,raw cri probability,0.8965090585957829,0.6250521920668058
13,manual topsis equal,0.7889780418955202,0.5539039665970772
13,manual vikor equal,0.7608626941511499,0.5381210855949895
13,manual waspas equal,0.7814971811660264,0.5426304801670145
13,baseline auto mcdm,0.8330723133671583,0.5675991649269311
13,pareto auto mcdm,0.8992542823790901,0.6250521920668058
14,raw cri probability,0.8934196829094403,0.6281438897577883
14,manual topsis equal,0.7778997359060671,0.5525637232108889
14,manual vikor equal,0.748690465079758,0.5355708669738344
14,manual waspas equal,0.7702961700972928,0.5404742782263178
14,baseline auto mcdm,0.8268688176783239,0.5674430401149765
14,pareto auto mcdm,0.8961760923358392,0.6287356807710192
15,raw cri probability,0.8966244758342632,0.6295299756159086
15,manual topsis equal,0.7763604135289655,0.5467922307239552
15,manual vikor equal,0.7477522406761284,0.5315731943159842
15,manual waspas equal,0.7681288948983063,0.5360295972420752
15,baseline auto mcdm,0.8243521479759199,0.5632725132430841
15,pareto auto mcdm,0.8993752921177797,0.6283528125788278
16,raw cri probability,0.8952982384401849,0.627160701518274
16,manual topsis equal,0.7850342877804195,0.5525507843714514
16,manual vikor equal,0.7567818361468757,0.5379147916053327
16,manual waspas equal,0.7773477070199213,0.5422887664549776
16,baseline auto mcdm,0.8307833819624713,0.5687849602557092
16,pareto auto mcdm,0.8983149672509613,0.6267401270135003
17,raw cri probability,0.8936502846385039,0.6222129610335487
17,manual topsis equal,0.7820510777941015,0.5461971244009168
17,manual vikor equal,0.7549303642226012,0.532527609918733
17,manual waspas equal,0.7756749440681627,0.5386955615753282
17,baseline auto mcdm,0.8292451792448835,0.5637007709939571
17,pareto auto mcdm,0.8965745718086732,0.6221296103354865
18,raw cri probability,0.8969344924968131,0.6280477551706743
18,manual topsis equal,0.7821977683100897,0.5516226668908694
18,manual vikor equal,0.7550605653898966,0.536068606019842
18,manual waspas equal,0.7741415065394327,0.5397679502270053
18,baseline auto mcdm,0.8284168965573967,0.566924499747772
18,pareto auto mcdm,0.8994741253562387,0.628299983184799
19,raw cri probability,0.8892210512880072,0.6278676034876831
19,manual topsis equal,0.7785955600301683,0.5542199271988488
19,manual vikor equal,0.7502951546448491,0.5387285194277491
19,manual waspas equal,0.7717430186094745,0.5426225344958943
19,baseline auto mcdm,0.8236401637427873,0.5695420299669856
19,pareto auto mcdm,0.8923041819304923,0.6276136459832388
20,raw cri probability,0.8923733311173089,0.628467982991622
20,manual topsis equal,0.7767095333195599,0.5488990864311877
20,manual vikor equal,0.7463630793977607,0.5329853071191007
20,manual waspas equal,0.7687432749025865,0.5367743021934072
20,baseline auto mcdm,0.8245534300486697,0.5659916642108366
20,pareto auto mcdm,0.8953648420265267,0.6274575843051404
21,raw cri probability,0.8954618535146847,0.6267366211962225
21,manual topsis equal,0.7770793613102488,0.5487513116474292
21,manual vikor equal,0.7485950226868877,0.5307030430220356
21,manual waspas equal,0.7690912818419932,0.534816369359916
21,baseline auto mcdm,0.8267092616451434,0.5635257082896118
21,pareto auto mcdm,0.8986100751518699,0.6276600209863589
22,raw cri probability,0.8940062681036367,0.6257524098160542
22,manual topsis equal,0.7793924348159493,0.5519215389148462
22,manual vikor equal,0.7514962189000618,0.5356736961737594
22,manual waspas equal,0.7721199427109247,0.5402197247127162
22,baseline auto mcdm,0.8265391191440106,0.5685061245106705
22,pareto auto mcdm,0.8967883086496455,0.6250789241065791
23,raw cri probability,0.8943531039622468,0.6271706681242903
23,manual topsis equal,0.7864423925011506,0.5573729134255562
23,manual vikor equal,0.7584205101002461,0.5376108985409747
23,manual waspas equal,0.7780030267555847,0.5430769877643695
23,baseline auto mcdm,0.8320901237010789,0.572341588529622
