archive_row,algorithm,method,normalization,selected_criteria_count,top_k_rate,test_average_precision,test_roc_auc,test_selected_f1,test_selected_precision,test_selected_recall,test_selected_ndcg,test_f1_at_20pct,test_precision_at_20pct,test_recall_at_20pct,test_ndcg_at_20pct
440,AGE-MOEA,cocoso,sum,3,0.1962913982260973,0.8986118099394168,0.9304622484138637,0.6211736851006258,0.9355578196637799,0.4649367088607595,0.9421444353809401,0.627563025210084,0.9335,0.47265822784810124,0.9402518006453963
41,NSGA-II,topsis,minmax,4,0.1597131631840085,0.8990298377907614,0.9307804760736531,0.5542385866870972,0.9624354359054625,0.3891772151898734,0.9662462017702259,0.627563025210084,0.9335,0.47265822784810124,0.940168866533834
254,R-NSGA-II,cocoso,minmax,3,0.1993470553940425,0.8987211136922173,0.9306157423075857,0.6263985866913435,0.9337848006019563,0.4712658227848101,0.940440616649541,0.627563025210084,0.9335,0.47265822784810124,0.9401748417511954
191,NSGA-III,cocoso,robust,3,0.0774214625416894,0.8994803475202094,0.9306948490391643,0.32640101603429117,0.9958023894091056,0.1951898734177215,0.9961328167024842,0.6273949579831933,0.93325,0.47253164556962024,0.9401957976259127
371,SMS-EMOA,cocoso,robust,3,0.1016851247765496,0.899928627457782,0.9308431473525687,0.40718743708475935,0.994346116027532,0.2560126582278481,0.9948941919841332,0.6273109243697479,0.933125,0.47246835443037977,0.940167539226766
