archive_row,algorithm,method,normalization,selected_criteria_count,top_k_rate,test_average_precision,test_roc_auc,test_selected_f1,test_selected_precision,test_selected_recall,test_selected_ndcg,test_f1_at_20pct,test_precision_at_20pct,test_recall_at_20pct,test_ndcg_at_20pct
137,NSGA-III,cocoso,minmax,3,0.1958850927303463,0.9001045867825987,0.9307871062252284,0.6206633948214588,0.9360643185298622,0.4642405063291139,0.9428942747991947,0.6270588235294117,0.93275,0.47227848101265824,0.9398945274308642
295,SMS-EMOA,cocoso,sum,3,0.199799685027908,0.8999397592007146,0.9308391247990685,0.6264290517821115,0.9324324324324325,0.47164556962025317,0.9395604779187687,0.6268067226890757,0.932375,0.4720886075949367,0.9395044767290059
385,AGE-MOEA,cocoso,sum,4,0.084955043018412,0.8998953031822144,0.930754172549237,0.35262253242356373,0.9958811415122095,0.21424050632911393,0.9963258997026592,0.6263865546218488,0.93175,0.47177215189873417,0.9390157008611416
5,NSGA-II,vikor,minmax,3,0.1970484275648622,0.8997963906426245,0.9308467514349635,0.6221602905160036,0.9346612534889622,0.4662658227848101,0.941541000133131,0.6270588235294117,0.93275,0.47227848101265824,0.9397944044980431
228,R-NSGA-II,cocoso,minmax,3,0.1999557788276944,0.8996897591228326,0.9308495578068139,0.6266649859237784,0.9322415301912739,0.4719620253164557,0.9393005917830032,0.6267226890756302,0.93225,0.4720253164556962,0.9393071723435389
