configuration,family,learning rate,tree count,num leaves,max depth,validation rank of 54,val calibrated AP (%),test calibrated AP (%),test calibrated ROC AUC (%),test F1 at 20% review (%)
Fixed configuration (manuscript),LightGBM,0.05,240,31.0,,23,89.96,89.5,93.09,62.74
Best validation configuration,XGBoost,0.1,480,,7.0,1,90.59,90.02,93.34,63.22
