sample_row_id,y_cri_high,y_proc_high,y_buyer_concentration_high,y_single_bid,y_no_call_for_tender,p_cri_high,p_proc_high,p_buyer_concentration_high,p_single_bid,p_no_call_for_tender,y_any_risk,pareto_auto_mcdm_score,pareto_auto_mcdm_rank,selected_for_review
2846234,1.0,,,,,0.98832667,0.9998412,0.48603025,0.99996966,0.8618964,1.0,0.9876468,52,True
2623952,1.0,,,,,0.99229044,0.99984413,0.5252986,0.99996966,0.8793243,1.0,0.9876224,53,True
2882236,1.0,,,,,0.99390435,0.99984413,0.47584334,0.9999726,0.88957965,1.0,0.9875717,54,True
2858586,1.0,,,,,0.993343,0.99984074,0.54069084,0.999971,0.8714579,1.0,0.9875472,55,True
2919244,1.0,,,,,0.9943766,0.9998405,0.44943765,0.999971,0.86575514,1.0,0.98754674,56,True
2917698,1.0,,,,,0.99325454,0.99984413,0.516486,0.999971,0.8966117,1.0,0.9875046,57,True
2886575,1.0,,,,,0.9908074,0.99984497,0.47589928,0.9999679,0.8758732,1.0,0.98749083,58,True
2859160,1.0,,,,,0.9946317,0.9998405,0.5173076,0.9999679,0.9018162,1.0,0.987486,59,True
2843751,1.0,,,,,0.9936959,0.9998403,0.47583947,0.999971,0.89151865,1.0,0.9874835,60,True
2836219,1.0,,,,,0.9889603,0.99984497,0.48409772,0.9999726,0.8714579,1.0,0.9874582,61,True
2915136,1.0,,,,,0.99325454,0.99984413,0.519427,0.999971,0.8953931,1.0,0.9874501,62,True
2857008,1.0,,,,,0.9936047,0.99984413,0.47328177,0.999971,0.89085776,1.0,0.98741126,63,True
2902507,1.0,,,,,0.99273205,0.99984413,0.51852596,0.999971,0.8953931,1.0,0.98740065,64,True
2907762,1.0,,,,,0.9908459,0.99984497,0.47770742,0.9999679,0.88127786,1.0,0.98738617,65,True
3024210,1.0,1.0,0.0,1.0,,0.9942266,0.9999582,0.49863437,0.9999729,0.9199226,1.0,0.9873681,66,True
2836616,1.0,,,,,0.9925934,0.99984413,0.519427,0.999971,0.8953931,1.0,0.98735034,67,True
2851928,1.0,,,,,0.99381405,0.99984413,0.4826513,0.999971,0.9032746,1.0,0.9873422,68,True
2741203,1.0,,,,,0.9981917,0.99979633,0.32571024,0.9993279,0.7571787,1.0,0.98733574,69,True
2886700,1.0,,,,,0.9936384,0.9998403,0.46024433,0.999971,0.8818864,1.0,0.9872872,70,True
2843055,1.0,,,,,0.99325454,0.99984413,0.52909493,0.999971,0.8909397,1.0,0.9872853,71,True
2847809,1.0,,,,,0.9927101,0.99984413,0.46201658,0.99996966,0.87998736,1.0,0.9872694,72,True
2674977,0.0,,1.0,,,0.99273205,0.99984413,0.5361302,0.9999679,0.88283217,1.0,0.98724157,73,True
1814055,1.0,1.0,,,0.0,0.9830093,0.99990237,0.18796596,0.99965876,0.48280632,1.0,0.9872391,74,True
1813482,1.0,1.0,,,0.0,0.9832019,0.99990296,0.18623064,0.9997145,0.4815787,1.0,0.9872292,75,True
2872136,1.0,,,,,0.99235106,0.99984413,0.47100708,0.9999726,0.88957965,1.0,0.98719275,76,True
3060304,1.0,1.0,1.0,1.0,,0.9942987,0.9999582,0.5059801,0.9999729,0.9214827,1.0,0.98718077,77,True
2896202,1.0,,,,,0.99314654,0.99984074,0.44686067,0.999971,0.87034166,1.0,0.98716104,78,True
136702,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3543565,1.0,0.98712164,79,True
137579,1.0,1.0,0.0,,,0.97631073,0.99843764,0.43206492,0.99938047,0.3543565,1.0,0.98712164,80,True
2867771,1.0,,,,,0.9944491,0.99984413,0.45938244,0.9999726,0.88957965,1.0,0.98711467,81,True
2839458,1.0,,,,,0.9934634,0.99984074,0.55160785,0.99996966,0.8747898,1.0,0.9871133,82,True
2859897,1.0,,,,,0.9936688,0.99984413,0.5332274,0.999971,0.8944595,1.0,0.9870998,83,True
2958355,1.0,1.0,0.0,1.0,,0.9940804,0.9999582,0.4916578,0.9999729,0.9214827,1.0,0.9870803,84,True
2854108,1.0,,,,,0.99383223,0.99984413,0.5503066,0.9999679,0.87893486,1.0,0.98707175,85,True
1815920,1.0,1.0,,,0.0,0.9832019,0.99990296,0.18080504,0.9997145,0.4815787,1.0,0.98706996,86,True
2912370,1.0,,,,,0.9922104,0.99984074,0.5448296,0.999971,0.87702787,1.0,0.98706603,87,True
2834222,1.0,,,,,0.9926023,0.9998403,0.4622494,0.9999679,0.88682747,1.0,0.9870442,88,True
2871743,1.0,,,,,0.9933777,0.99984497,0.5629223,0.999971,0.8656112,1.0,0.9870339,89,True
2909589,1.0,,,,,0.99314654,0.99984074,0.4428355,0.999971,0.87034166,1.0,0.98703384,90,True
2607953,1.0,,,,,0.9924612,0.99984413,0.53911334,0.9999679,0.8852364,1.0,0.9870288,91,True
3386172,1.0,1.0,0.0,1.0,1.0,0.98851097,0.96979374,0.47379902,0.99996924,0.8943666,1.0,0.9870282,92,True
2898166,1.0,,,,,0.99359024,0.99984413,0.54070693,0.999971,0.88905776,1.0,0.9870238,93,True
2883750,1.0,,,,,0.9915327,0.99984497,0.45142,0.999971,0.8708628,1.0,0.98702216,94,True
2844728,1.0,,,,,0.9936047,0.99984413,0.460692,0.999971,0.89085776,1.0,0.987013,95,True
2865742,1.0,,,,,0.99381405,0.99984413,0.5372667,0.999971,0.8944595,1.0,0.98699075,96,True
2895807,1.0,,,,,0.9931516,0.99984413,0.53202873,0.999971,0.8970008,1.0,0.9869864,97,True
1851068,1.0,1.0,0.0,1.0,0.0,0.973874,0.999908,0.40328288,0.99996775,0.44020393,1.0,0.9869802,98,True
2884164,1.0,,,,,0.99381405,0.99984413,0.5377546,0.999971,0.8944595,1.0,0.9869753,99,True
1874785,1.0,1.0,1.0,1.0,0.0,0.97502995,0.99990743,0.5765959,0.99996775,0.38956165,1.0,0.9869682,100,True
