algorithm,n_gen,n_eval,hypervolume
NSGA-III,25,2500,0.33467813120192436
NSGA-III,26,2600,0.3348220241845643
NSGA-III,27,2700,0.33755302779361385
NSGA-III,28,2800,0.3387499812935182
NSGA-III,29,2900,0.33911590613864895
NSGA-III,30,3000,0.33942635776413377
NSGA-III,31,3100,0.3389906667463968
NSGA-III,32,3200,0.338990529743019
NSGA-III,33,3300,0.3391497696394157
NSGA-III,34,3400,0.33919668932991864
NSGA-III,35,3500,0.3398984584259464
NSGA-III,36,3600,0.33998580234165254
NSGA-III,37,3700,0.340913089773935
NSGA-III,38,3800,0.3409079662871718
NSGA-III,39,3900,0.33936518727609233
NSGA-III,40,4000,0.3392118960951229
NSGA-III,41,4100,0.3395140296951399
NSGA-III,42,4200,0.3395643553686102
NSGA-III,43,4300,0.3396209360106546
NSGA-III,44,4400,0.34115918562021585
NSGA-III,45,4500,0.34111019044051155
NSGA-III,46,4600,0.34117356357478446
NSGA-III,47,4700,0.3404996407072507
NSGA-III,48,4800,0.33781348371705056
NSGA-III,49,4900,0.3378928956923512
NSGA-III,50,5000,0.337521628068691
NSGA-III,51,5100,0.33811112785342223
NSGA-III,52,5200,0.3381264348330706
NSGA-III,53,5300,0.33542617990649604
NSGA-III,54,5400,0.3357111203015536
NSGA-III,55,5500,0.3379948657045757
NSGA-III,56,5600,0.33799950330482603
NSGA-III,57,5700,0.3373819330665777
NSGA-III,58,5800,0.342463799393162
NSGA-III,59,5900,0.3443084567419884
NSGA-III,60,6000,0.3442642861605254
NSGA-III,61,6100,0.34427293742127174
NSGA-III,62,6200,0.34746261319838534
NSGA-III,63,6300,0.3391333031229351
NSGA-III,64,6400,0.33917993905780974
NSGA-III,65,6500,0.339112284076982
NSGA-III,66,6600,0.33914594913135304
NSGA-III,67,6700,0.340411893493455
NSGA-III,68,6800,0.34196967659471134
NSGA-III,69,6900,0.3422145310505963
NSGA-III,70,7000,0.3422614040869587
NSGA-III,71,7100,0.3424720074694917
NSGA-III,72,7200,0.34276488732328525
NSGA-III,73,7300,0.34142046290571315
NSGA-III,74,7400,0.34336167690088176
NSGA-III,75,7500,0.34354101195403147
NSGA-III,76,7600,0.3438280660217103
NSGA-III,77,7700,0.34376278640659746
NSGA-III,78,7800,0.3403677280119626
NSGA-III,79,7900,0.34030061421418695
