algorithm,solutions_collected,runtime_seconds,final_hypervolume,best_primary_average_precision,best_primary_f1,best_any_f1
NSGA-II,100,90.19124850000026,0.351349762118806,0.9115057174327545,0.6354574980400941,0.4784053156146179
NSGA-III,100,105.78002610000021,0.3484593766943986,0.9114613737678071,0.6271989174560216,0.4780915287244401
R-NSGA-II,100,104.05267079999976,0.3124341479418098,0.911527012977404,0.6359054765371261,0.4762985171379953
SMS-EMOA,100,220.99821109999993,0.3552157388607298,0.9115671103730648,0.6353758261454017,0.47994164843180165
AGE-MOEA,100,98.20349329999954,0.34989107925161184,0.9115315822438421,0.634927747283522,0.47653780695356185
